2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for ACT [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:48 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8763,Chisholm,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,153,-0.3
ACT,101,Canberra,8763,Chisholm,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,88,1.02
ACT,101,Canberra,8763,Chisholm,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,606,-2.39
ACT,101,Canberra,8763,Chisholm,999,Informal,Informal,999,N,N,,Informal,56,-1.76
ACT,101,Canberra,8808,City (Canberra),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,381,-6.72
ACT,101,Canberra,8808,City (Canberra),28336,CAHILL,Patricia,2,N,N,GRN,The Greens,295,1.92
ACT,101,Canberra,8808,City (Canberra),29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,51,-0.41
ACT,101,Canberra,8808,City (Canberra),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,317,9.04
ACT,101,Canberra,8808,City (Canberra),999,Informal,Informal,999,N,N,,Informal,30,-0.71
ACT,101,Canberra,58708,City CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,2496,-4.57
ACT,101,Canberra,58708,City CANBERRA PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,1206,3.08
ACT,101,Canberra,58708,City CANBERRA PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,375,0.18
ACT,101,Canberra,58708,City CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,2693,5.21
ACT,101,Canberra,58708,City CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,138,-0.72
ACT,101,Canberra,31298,Conder,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1522,5.6
ACT,101,Canberra,31298,Conder,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,312,0.5
ACT,101,Canberra,31298,Conder,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,146,0.05
ACT,101,Canberra,31298,Conder,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1074,0.29
ACT,101,Canberra,31298,Conder,999,Informal,Informal,999,N,N,,Informal,117,-1.9
ACT,101,Canberra,82523,Coombs,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,554,0.47
ACT,101,Canberra,82523,Coombs,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,192,1.37
ACT,101,Canberra,82523,Coombs,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,56,0.85
ACT,101,Canberra,82523,Coombs,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,449,1.19
ACT,101,Canberra,82523,Coombs,999,Informal,Informal,999,N,N,,Informal,32,-0.86
ACT,101,Canberra,8764,Curtin,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1090,-0.09
ACT,101,Canberra,8764,Curtin,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,509,2.21
ACT,101,Canberra,8764,Curtin,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,103,0.49
ACT,101,Canberra,8764,Curtin,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,837,0.69
ACT,101,Canberra,8764,Curtin,999,Informal,Informal,999,N,N,,Informal,42,-1.54
ACT,101,Canberra,8766,Deakin,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,374,0.28
ACT,101,Canberra,8766,Deakin,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,128,-0.87
ACT,101,Canberra,8766,Deakin,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,43,0.15
ACT,101,Canberra,8766,Deakin,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,701,1.68
ACT,101,Canberra,8766,Deakin,999,Informal,Informal,999,N,N,,Informal,15,-1.55
ACT,101,Canberra,30092,Divisional Office (PREPOLL),28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,68,-3.12
ACT,101,Canberra,30092,Divisional Office (PREPOLL),28336,CAHILL,Patricia,2,N,N,GRN,The Greens,20,-6.67
ACT,101,Canberra,30092,Divisional Office (PREPOLL),29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,11,0.95
ACT,101,Canberra,30092,Divisional Office (PREPOLL),28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,85,12.42
ACT,101,Canberra,30092,Divisional Office (PREPOLL),999,Informal,Informal,999,N,N,,Informal,4,-0.8
ACT,101,Canberra,8767,Duffy,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,833,-0.26
ACT,101,Canberra,8767,Duffy,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,371,5.17
ACT,101,Canberra,8767,Duffy,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,99,2.04
ACT,101,Canberra,8767,Duffy,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,578,-3.01
ACT,101,Canberra,8767,Duffy,999,Informal,Informal,999,N,N,,Informal,53,-0.85
ACT,101,Canberra,8768,Fadden,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,768,2.49
ACT,101,Canberra,8768,Fadden,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,214,0.3
ACT,101,Canberra,8768,Fadden,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,69,-0.2
ACT,101,Canberra,8768,Fadden,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,856,1.72
ACT,101,Canberra,8768,Fadden,999,Informal,Informal,999,N,N,,Informal,43,-1.01
ACT,101,Canberra,8769,Farrer,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,992,3.24
ACT,101,Canberra,8769,Farrer,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,339,1.87
ACT,101,Canberra,8769,Farrer,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,82,0.06
ACT,101,Canberra,8769,Farrer,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1003,-1.86
ACT,101,Canberra,8769,Farrer,999,Informal,Informal,999,N,N,,Informal,43,-0.83
ACT,101,Canberra,8794,Garran,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,492,-1.11
ACT,101,Canberra,8794,Garran,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,209,2.04
ACT,101,Canberra,8794,Garran,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,39,0.22
ACT,101,Canberra,8794,Garran,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,504,1.78
ACT,101,Canberra,8794,Garran,999,Informal,Informal,999,N,N,,Informal,27,-1.42
ACT,101,Canberra,8771,Gilmore,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,859,4.16
ACT,101,Canberra,8771,Gilmore,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,178,-0.23
ACT,101,Canberra,8771,Gilmore,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,106,2.13
ACT,101,Canberra,8771,Gilmore,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,716,0.14
ACT,101,Canberra,8771,Gilmore,999,Informal,Informal,999,N,N,,Informal,95,-0.27
ACT,101,Canberra,12072,Gordon,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1677,4.8
ACT,101,Canberra,12072,Gordon,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,392,1.38
ACT,101,Canberra,12072,Gordon,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,152,0.65
ACT,101,Canberra,12072,Gordon,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,1249,-1.71
ACT,101,Canberra,12072,Gordon,999,Informal,Informal,999,N,N,,Informal,145,-1.6
ACT,101,Canberra,8772,Gowrie,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,774,4.97
ACT,101,Canberra,8772,Gowrie,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,240,2.35
ACT,101,Canberra,8772,Gowrie,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,88,0.87
ACT,101,Canberra,8772,Gowrie,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,629,-1.83
ACT,101,Canberra,8772,Gowrie,999,Informal,Informal,999,N,N,,Informal,58,-1.12
ACT,101,Canberra,8817,Griffith,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,514,-1.08
ACT,101,Canberra,8817,Griffith,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,237,3.37
ACT,101,Canberra,8817,Griffith,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,54,-1.07
ACT,101,Canberra,8817,Griffith,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,605,1.75
ACT,101,Canberra,8817,Griffith,999,Informal,Informal,999,N,N,,Informal,36,-1.23
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,97,0.49
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,32,5.87
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,16,3.27
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,95,-3.85
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,999,Informal,Informal,999,N,N,,Informal,11,0.88
ACT,101,Canberra,8773,Holder,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,899,0.35
ACT,101,Canberra,8773,Holder,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,316,2.12
ACT,101,Canberra,8773,Holder,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,83,-0.28
ACT,101,Canberra,8773,Holder,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,815,1.77
ACT,101,Canberra,8773,Holder,999,Informal,Informal,999,N,N,,Informal,53,-0.23
ACT,101,Canberra,8774,Hughes,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,841,0.95
ACT,101,Canberra,8774,Hughes,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,323,0.97
ACT,101,Canberra,8774,Hughes,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,63,-0.73
ACT,101,Canberra,8774,Hughes,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,721,1.31
ACT,101,Canberra,8774,Hughes,999,Informal,Informal,999,N,N,,Informal,35,-1.88
ACT,101,Canberra,8884,Isabella Plains,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1004,3.7
ACT,101,Canberra,8884,Isabella Plains,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,248,2.13
ACT,101,Canberra,8884,Isabella Plains,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,103,0.44
ACT,101,Canberra,8884,Isabella Plains,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,663,-1.26
ACT,101,Canberra,8884,Isabella Plains,999,Informal,Informal,999,N,N,,Informal,87,-0.92
ACT,101,Canberra,8776,Kambah North,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,685,5.91
ACT,101,Canberra,8776,Kambah North,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,223,1.04
ACT,101,Canberra,8776,Kambah North,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,53,0.95
ACT,101,Canberra,8776,Kambah North,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,495,-1.24
ACT,101,Canberra,8776,Kambah North,999,Informal,Informal,999,N,N,,Informal,39,-0.81
ACT,101,Canberra,8777,Kambah South,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1127,3.39
ACT,101,Canberra,8777,Kambah South,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,381,1.33
ACT,101,Canberra,8777,Kambah South,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,126,0.21
ACT,101,Canberra,8777,Kambah South,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,704,-0.24
ACT,101,Canberra,8777,Kambah South,999,Informal,Informal,999,N,N,,Informal,77,-0.59
ACT,101,Canberra,8778,Kambah West,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1214,2.14
ACT,101,Canberra,8778,Kambah West,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,407,2.99
ACT,101,Canberra,8778,Kambah West,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,125,1.38
ACT,101,Canberra,8778,Kambah West,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,960,-1.78
ACT,101,Canberra,8778,Kambah West,999,Informal,Informal,999,N,N,,Informal,79,-2.76
ACT,101,Canberra,8779,Lyons,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,560,2.97
ACT,101,Canberra,8779,Lyons,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,224,0.74
ACT,101,Canberra,8779,Lyons,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,70,1.74
ACT,101,Canberra,8779,Lyons,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,406,-1.01
ACT,101,Canberra,8779,Lyons,999,Informal,Informal,999,N,N,,Informal,27,-1.65
ACT,101,Canberra,8780,Mawson,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,967,3
ACT,101,Canberra,8780,Mawson,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,354,3.93
ACT,101,Canberra,8780,Mawson,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,101,0.85
ACT,101,Canberra,8780,Mawson,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,769,-4.65
ACT,101,Canberra,8780,Mawson,999,Informal,Informal,999,N,N,,Informal,53,-1.69
ACT,101,Canberra,8781,Monash,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,1088,3.96
ACT,101,Canberra,8781,Monash,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,256,0.34
ACT,101,Canberra,8781,Monash,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,101,0.23
ACT,101,Canberra,8781,Monash,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,890,0.31
ACT,101,Canberra,8781,Monash,999,Informal,Informal,999,N,N,,Informal,83,-1.73
ACT,101,Canberra,8782,Narrabundah,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,804,0.38
ACT,101,Canberra,8782,Narrabundah,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,314,3.29
ACT,101,Canberra,8782,Narrabundah,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,69,0.39
ACT,101,Canberra,8782,Narrabundah,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,537,0.85
ACT,101,Canberra,8782,Narrabundah,999,Informal,Informal,999,N,N,,Informal,84,-1.42
ACT,101,Canberra,65739,Norfolk Island,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,77,-12.38
ACT,101,Canberra,65739,Norfolk Island,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,62,16.32
ACT,101,Canberra,65739,Norfolk Island,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,10,3.98
ACT,101,Canberra,65739,Norfolk Island,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,96,0.92
ACT,101,Canberra,65739,Norfolk Island,999,Informal,Informal,999,N,N,,Informal,50,15.76
ACT,101,Canberra,66153,Norfolk Island PPVC,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,29,-6.48
ACT,101,Canberra,66153,Norfolk Island PPVC,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,19,4.56
ACT,101,Canberra,66153,Norfolk Island PPVC,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,2,-3.7
ACT,101,Canberra,66153,Norfolk Island PPVC,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,33,11.34
ACT,101,Canberra,66153,Norfolk Island PPVC,999,Informal,Informal,999,N,N,,Informal,15,10.71
ACT,101,Canberra,8783,Oaks Estate,28189,BRODTMANN,Gai,1,Y,Y,ALP,Australian Labor Party,65,-1.15
ACT,101,Canberra,8783,Oaks Estate,28336,CAHILL,Patricia,2,N,N,GRN,The Greens,35,3.45
ACT,101,Canberra,8783,Oaks Estate,29373,BUCKNELL,Christopher D'Arcy,3,N,N,BTA,Bullet Train For Australia,12,1.73
ACT,101,Canberra,8783,Oaks Estate,28989,ADELAN-LANGFORD,Jessica,4,N,N,LP,Liberal,62,5.16
ACT,101,Canberra,8783,Oaks Estate,999,Informal,Informal,999,N,N,,Informal,11,0.52
