2016 Federal Election House of Representatives First Preferences By Candidate By Polling Place for SA [Event:20499 Phase:FinalResults Generated:2017-05-11T17:34:50 Cycle:a45ea4bc-bff6-48cb-94c5-1bbaae0c7c0d Created:2017-05-11T17:29:15 Environment:PROD Site:CANBERRA Server:TALLYROOM Version:10.5.84.43192]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
SA,179,Adelaide,7008,Black Forest (Adelaide),28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,5,0.59
SA,179,Adelaide,7008,Black Forest (Adelaide),29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,5,0.59
SA,179,Adelaide,7008,Black Forest (Adelaide),29552,COLOVIC,David,5,N,N,LP,Liberal,247,-6.89
SA,179,Adelaide,7008,Black Forest (Adelaide),29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,360,-3.57
SA,179,Adelaide,7008,Black Forest (Adelaide),29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,117,13.86
SA,179,Adelaide,7008,Black Forest (Adelaide),999,Informal,Informal,999,N,N,,Informal,23,-1.32
SA,179,Adelaide,7011,Black Forest East,29106,GUY,Sophie,1,N,N,GRN,The Greens,193,-0.47
SA,179,Adelaide,7011,Black Forest East,29059,RIVISH,Adrian,2,N,N,FFP,Family First,23,-0.21
SA,179,Adelaide,7011,Black Forest East,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,17,0.95
SA,179,Adelaide,7011,Black Forest East,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,17,0.95
SA,179,Adelaide,7011,Black Forest East,29552,COLOVIC,David,5,N,N,LP,Liberal,677,-3.47
SA,179,Adelaide,7011,Black Forest East,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,621,-7.54
SA,179,Adelaide,7011,Black Forest East,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,238,13.33
SA,179,Adelaide,7011,Black Forest East,999,Informal,Informal,999,N,N,,Informal,51,-0.62
SA,179,Adelaide,6654,Blair Athol,29106,GUY,Sophie,1,N,N,GRN,The Greens,77,0.6
SA,179,Adelaide,6654,Blair Athol,29059,RIVISH,Adrian,2,N,N,FFP,Family First,33,-1.08
SA,179,Adelaide,6654,Blair Athol,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,25,1.85
SA,179,Adelaide,6654,Blair Athol,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,20,1.48
SA,179,Adelaide,6654,Blair Athol,29552,COLOVIC,David,5,N,N,LP,Liberal,221,-8.88
SA,179,Adelaide,6654,Blair Athol,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,797,-1.9
SA,179,Adelaide,6654,Blair Athol,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,175,12.98
SA,179,Adelaide,6654,Blair Athol,999,Informal,Informal,999,N,N,,Informal,85,-0.01
SA,179,Adelaide,65592,BLV Adelaide PPVC,29106,GUY,Sophie,1,N,N,GRN,The Greens,0,-8.51
SA,179,Adelaide,65592,BLV Adelaide PPVC,29059,RIVISH,Adrian,2,N,N,FFP,Family First,0,-0.28
SA,179,Adelaide,65592,BLV Adelaide PPVC,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,1,7.69
SA,179,Adelaide,65592,BLV Adelaide PPVC,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,0,0
SA,179,Adelaide,65592,BLV Adelaide PPVC,29552,COLOVIC,David,5,N,N,LP,Liberal,4,-10.96
SA,179,Adelaide,65592,BLV Adelaide PPVC,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,6,0.44
SA,179,Adelaide,65592,BLV Adelaide PPVC,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,2,15.38
SA,179,Adelaide,65592,BLV Adelaide PPVC,999,Informal,Informal,999,N,N,,Informal,0,-0.67
SA,179,Adelaide,6655,Broadview,29106,GUY,Sophie,1,N,N,GRN,The Greens,189,-0.32
SA,179,Adelaide,6655,Broadview,29059,RIVISH,Adrian,2,N,N,FFP,Family First,73,0.76
SA,179,Adelaide,6655,Broadview,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,22,0.85
SA,179,Adelaide,6655,Broadview,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,27,1.05
SA,179,Adelaide,6655,Broadview,29552,COLOVIC,David,5,N,N,LP,Liberal,936,-9.33
SA,179,Adelaide,6655,Broadview,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,926,-5.7
SA,179,Adelaide,6655,Broadview,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,403,15.64
SA,179,Adelaide,6655,Broadview,999,Informal,Informal,999,N,N,,Informal,84,-1.29
SA,179,Adelaide,7049,Brompton,29106,GUY,Sophie,1,N,N,GRN,The Greens,317,3.07
SA,179,Adelaide,7049,Brompton,29059,RIVISH,Adrian,2,N,N,FFP,Family First,29,-0.57
SA,179,Adelaide,7049,Brompton,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,25,1.39
SA,179,Adelaide,7049,Brompton,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,15,0.83
SA,179,Adelaide,7049,Brompton,29552,COLOVIC,David,5,N,N,LP,Liberal,455,-2.75
SA,179,Adelaide,7049,Brompton,29073,ELLIS,Kate,6,Y,Y,ALP,Australian Labor Party,711,-12.06
SA,179,Adelaide,7049,Brompton,29128,HILL,Joe,7,N,N,XEN,Nick Xenophon Team,251,13.92
SA,179,Adelaide,7049,Brompton,999,Informal,Informal,999,N,N,,Informal,58,-1.29
SA,179,Adelaide,7010,Clarence Park,29106,GUY,Sophie,1,N,N,GRN,The Greens,98,-0.89
SA,179,Adelaide,7010,Clarence Park,29059,RIVISH,Adrian,2,N,N,FFP,Family First,15,-0.75
SA,179,Adelaide,7010,Clarence Park,28465,TIDSWELL,Matt,3,N,N,AJP,Animal Justice Party,17,1.53
SA,179,Adelaide,7010,Clarence Park,29464,LOCK,Tyrone,4,N,N,LDP,Liberal Democrats,13,1.17
